,max_abs_pearson,min_abs_pearson,mean_abs_pearson,hilbert_schmidt,DisCo,template_max_lazy_ROCAUC
twinTURBO_reco-cons-aclip,0.9999809049508401,0.9107504916746868,0.9800991330632292,0.24113047,0.9999785044134084,
twinTURBO_reco-aclip,0.9999590154078519,0.5150129863893805,0.9230219240391941,0.24052294,0.9999484207669854,
twinturbo_reco0.1-cons-acontr,0.9995465092746166,0.015268032176057229,0.5589186938315025,0.017542893,0.9995547848831186,
twinturbo_reco-cons-acontr0.1both,0.9989665834544474,0.06435605788172671,0.7043920630888993,0.14447756,0.9993534867188602,
twinturbo_reco-acontr,0.998898402429794,0.03529801246923448,0.5278164558300565,0.106145635,0.999193419587301,
twinturbo_reco-cons-acontr,0.9919011450166073,0.03428768997886422,0.7019125211063042,0.13497087,0.9916570582344243,
twinturbo_reco-cons-acontr0.05a0.01,0.9940355761486167,0.04393553093002811,0.6873565258075458,0.1242608,0.9905855247935763,
twinturbo_reco-cons-acontr0.02a0.01,0.9957667283943097,0.00862485226915043,0.6149856206614931,0.12583958,0.9903325016670074,
twinturbo_reco-cons-acontr-vic,0.9290635586402467,0.01334980274399381,0.4816004130790361,6.802167e-05,0.9566384164449061,
twinturbo_reco-cons-acontr0.01a0.02,0.9387202411139429,0.7258076816675525,0.8574002127443383,0.00015544822,0.8368555067832534,
twinturbo_reco_noise_mINx,0.8536261899686869,0.06569799361113872,0.6075865964723366,0.004480748,0.77203387709661,
twinturbo_reco_noise_mSEP,0.8057352252679799,0.09956770931891276,0.5838223424993865,0.0045325602,0.7691318582156784,
twinturbo_reco_only_nom,0.7875801131780474,0.01805424379628016,0.589980186322614,0.0024532946,0.7290735239094412,
twinturbo_reco-cons-acontr0.01a0.05,0.8185778042051048,0.14443671354407994,0.4717929574007088,4.461703e-07,0.4401309004519323,
twinTURBO_reco_only,0.6077056557108504,0.037953597395752624,0.31090193728761295,0.0007929876,0.3862569739992408,0.5669218707499319
twinturbo_reco_only_adam,0.6771999856922098,0.028297030490875272,0.2872100930131683,0.00063979,0.366129108436817,
twinTURBO_reco-cons,0.35223528164790463,0.03718049742624139,0.28184964296298587,0.0004828137,0.30933707157999707,
twinTURBO_reco_pearson,0.041205981470864225,2.34425742823164e-05,0.004756098498255069,1.1263974e-06,0.20005312639445205,0.531222499559993
twinTURBO_reco_DisCo,0.04805979011179844,0.00040420925458165696,0.015872816159703332,8.819421e-06,0.02890596653389963,0.5064541032656522
